# X,Y,Z Components Centre of Mass Velocity at each MD step for last 100 steps
4.995049999999999955e+02	1.860651550529197565e-15	1.475157444756573656e-15	2.317076571763984098e-15
4.995099999999999909e+02	1.856539613400956127e-15	1.474129460474513494e-15	2.364363848738759445e-15
4.995149999999999864e+02	1.870931393349800764e-15	1.474129460474513494e-15	2.345860131661673371e-15
4.995200000000000387e+02	1.877099299042162920e-15	1.477213413320694375e-15	2.339692225969311215e-15
4.995250000000000341e+02	1.861679534811257924e-15	1.472073491910392775e-15	2.331468351712828735e-15
4.995300000000000296e+02	1.871959377631861123e-15	1.501371043949112228e-15	2.308852697507501618e-15
4.995350000000000250e+02	1.868875424785680045e-15	1.502142032160657497e-15	2.324272461738406614e-15
4.995400000000000205e+02	1.864763487657439002e-15	1.512164878910745607e-15	2.319132540328104817e-15
4.995450000000000159e+02	1.890463094708947197e-15	1.494689146115720089e-15	2.298572854686898025e-15
4.995500000000000114e+02	1.889435110426886837e-15	1.499443573420248956e-15	2.296516886122777700e-15
4.995550000000000068e+02	1.864763487657439002e-15	1.509080926064564726e-15	2.372587722995241925e-15
4.995600000000000023e+02	1.857567597683016487e-15	1.503941004654262929e-15	2.306796728943380899e-15
4.995649999999999977e+02	1.880697244029373783e-15	1.491251823672580787e-15	2.241005734891519873e-15
4.995699999999999932e+02	1.864249495516408822e-15	1.487669940939776883e-15	2.284181074738053388e-15
4.995749999999999886e+02	1.866819456221559326e-15	1.479237257376000584e-15	2.329926375289738196e-15
4.995799999999999841e+02	1.876071314760102560e-15	1.498993830296847598e-15	2.294974909699687161e-15
4.995850000000000364e+02	1.902541910023155827e-15	1.460605042263657261e-15	2.313221630706257948e-15
4.995900000000000318e+02	1.892519063273067915e-15	1.465455843094629459e-15	2.309366689648531798e-15
4.995950000000000273e+02	1.856282617330441235e-15	1.485308789541919409e-15	2.318104556046044458e-15
4.996000000000000227e+02	1.876842302971647633e-15	1.455111751256397241e-15	2.324272461738406614e-15
4.996050000000000182e+02	1.912307760702729241e-15	1.473872464403998404e-15	2.275957200481570908e-15
4.996100000000000136e+02	1.857824593753531774e-15	1.480297366166875453e-15	2.275957200481570908e-15
4.996150000000000091e+02	1.878127283324223279e-15	1.478755389743784914e-15	2.278013169045691627e-15
4.996200000000000045e+02	1.860137558388167385e-15	1.441233963448582784e-15	2.271845263353329470e-15
4.996250000000000000e+02	1.856539613400956127e-15	1.494689146115720089e-15	2.294460917558656982e-15
